id,park,land,attraction,dis_link,img
60,Animal Kingdom,Africa,A Celebration of Festival of the Lion King,https://disneyworld.disney.go.com/entertainment/animal-kingdom/festival-of-the-lion-king/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/entertainment/animal-kingdom/festival-of-the-lion-king/festival-of-the-lion-king-gallery00.jpg?1620414365007
61,Animal Kingdom,Asia,Expedition Everest,https://disneyworld.disney.go.com/attractions/animal-kingdom/expedition-everest/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2011/04/eeh019381LARGE.jpg
62,Animal Kingdom,Asia,Kali River Rapids,https://disneyworld.disney.go.com/attractions/animal-kingdom/kali-river-rapids/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/630/354/90/media/disneyparksjapan-prod/disneyparksjapan_v0001/1/media/wdw/attractions/kali-river-rapids-00.jpg
63,Animal Kingdom,Asia,Maharajah Jungle Trek,https://disneyworld.disney.go.com/attractions/animal-kingdom/maharajah-jungle-trek/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/animal-kingdom/maharajah-jungle-trek/maharajah-jungle-trek-gallery01.jpg?1551208666502
64,Animal Kingdom,Asia,Feathered Friends Flight,https://disneyworld.disney.go.com/entertainment/animal-kingdom/feathered-friends/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/entertainment/animal-kingdom/new-entertainment/vulture-16x9.jpg?1637158333146
65,Animal Kingdom,DinoLand U.S.A.,Dinosaur,https://disneyworld.disney.go.com/attractions/animal-kingdom/dinosaur/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/animal-kingdom/dinosaur/dinosaur-00.jpg?1634619896244
67,Animal Kingdom,DinoLand U.S.A.,The Boneyard,https://disneyworld.disney.go.com/attractions/animal-kingdom/boneyard/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/animal-kingdom/the-boneyard/the-boneyard-00.jpg?1632755812605
68,Animal Kingdom,DinoLand U.S.A.,Chester and Hester's Dino-Rama,https://disneyworld.disney.go.com/shops/animal-kingdom/chester-and-hesters-dinosaur-treasures/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/things-to-do/more/shops/animal-kingdom/chester-and-hester-dinosaur-treasures/chester-and-hesters-dinosaur-treasures-00.jpg?1583973826499
69,Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,https://disneyworld.disney.go.com/attractions/hollywood-studios/mickey-minnies-runaway-railway/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2019/12/mbhgyu7898-624x350-624x350.jpg
70,Hollywood Studios,Echo Lake,Star Tours - The Adventure Continues,https://disneyworld.disney.go.com/attractions/hollywood-studios/star-tours/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2017/11/11_17_WDI_9004_1280.jpg
71,Hollywood Studios,Echo Lake,Indiana Jones Epic Stunt Spectacular!,https://disneyworld.disney.go.com/entertainment/hollywood-studios/indiana-jones-epic-stunt-spectacular/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/entertainment/hollywood-studios/indiana-jones-stunt-spectacular-gallery02.jpg?1640811572364
72,Hollywood Studios,Echo Lake,For the First Time in Forever: A Frozen Sing-Along Celebration,https://disneyworld.disney.go.com/entertainment/hollywood-studios/frozen-sing-along-celebration/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/entertainment/hollywood-studios/frozen-sing-along-celebration/summer-update-00.jpg?1641315717037
74,Hollywood Studios,Grand Avenue,Muppet*Vision 3D,https://disneyworld.disney.go.com/attractions/hollywood-studios/muppet-vision-3d/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/hollywood-studios/muppet-vision-3d/muppet-vision-3d-gallery02.jpg?1559892225794
